x,y,z,t,u,v,w,p,d,dx,dy
0.001861194,0.0014283098,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016631613,0.0017624465,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013855927,0.0014454257,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0015992902,0.0010266266,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007167503,0.0008751601,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012944696,0.0019046078,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008757956,0.002119703,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008381387,0.0015023343,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0009993799,-0.0007487243,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0013063863,7.93713e-05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0008260684,6.2708e-06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0041067,0.0003691872,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0041925,-2.54155e-05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0037109952,-3.70599e-05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009081233,0.0026934747,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005435823,0.0023521,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020969131,0.0010435263,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003322,-0.0014991,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0031181396,-0.0019357623,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0027079022,-0.0015338461,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021444,0.0018741,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.56898e-05,-0.000700182,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004466742,-0.0007832121,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002036712,-0.0001490971,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0030244,-0.001164,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003910066,0.0018774567,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020529341,-0.0007173789,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0014123468,-0.0005846952,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017565003,-0.0002794498,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0003974877,-0.0026399667,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0007580334,-0.0020495,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0001193132,-0.0022135741,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012965746,-0.0033453992,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008545653,-0.0035455738,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005888438,-0.0027806137,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017324,0.0037477,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021177,0.0036279,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018787765,0.0032238345,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
