x,y,z,t,u_scaled,v_scaled,w_scaled,p_scaled,d,dx,dy
0.0048958992,-0.001007277,0.0,0.01,0.0,0.0,0.0,7.563112,0.0,0.0,0.0
0.0049726,-0.0005225871,0.0,0.01,1.8e-09,6e-10,0.0,1.370981,0.0,0.0,0.0
0.0048665791,-0.0011327008,0.0003221367,0.01,-2.022e-06,1.46605e-05,0.0,-1.536871,4.118252050488991e-08,1.999999987845058e-08,3.599999942593968e-08
0.0048963085,0.0010046906,0.05,0.01,0.0,0.0,0.0,96.66603,0.0,0.0,0.0
0.0049726,0.0005225871,0.05,0.01,0.0,0.0,0.0,108.9759,0.0,0.0,0.0
0.0048681981,0.0011335557,0.0496799925,0.01,0.0016307662,0.0004032162,0.0,119.7723,1.7945011450137827e-06,1.7472000308771385e-06,4.092999859039992e-07
0.0010135226,-0.0048948158,0.05,0.01,0.0,0.0,0.0,114.3262,0.0,0.0,0.0
0.0005225731,-0.0049726,0.05,0.01,0.0,0.0,0.0,39.7297,0.0,0.0,0.0
0.0011231224,-0.0048708874,0.049680643,0.01,0.0004469488,-0.0017216619,0.0,124.2636,1.792112357179576e-06,4.542000056062534e-07,-1.7336000155410147e-06
0.0010141994,0.0048947085,0.0,0.01,0.0,0.0,0.0,7.103948,0.0,0.0,0.0
0.0005225731,0.0049726,0.0,0.01,0.0,0.0,0.0,7.025031,0.0,0.0,0.0
0.0011197987,0.004869959,0.0003132974,0.01,2.18633e-05,-2.0908e-05,0.0,0.2810276,2.915475860731931e-08,2.5000000292152436e-08,1.4999999464748726e-08
0.0015284355,-0.0047597628,0.05,0.01,0.0,0.0,0.0,141.7104,0.0,0.0,0.0
0.0015230843,0.0047611958,0.0,0.01,0.0,0.0,0.0,8.755602,0.0,0.0,0.0
0.0047626433,-0.0015176994,0.0,0.01,0.0,0.0,0.0,6.968441,0.0,0.0,0.0
0.0047613865,0.0015223891,0.05,0.01,0.0,0.0,0.0,123.4722,0.0,0.0,0.0
-0.0015449999,-0.0047553,0.05,0.01,5.26e-08,-1.52e-08,0.0,77.29063,1.000000013351432e-10,1.000000013351432e-10,0.0
-0.0020337,-0.0045677,0.05,0.01,0.0,0.0,0.0,47.50343,0.0,0.0,0.0
-0.0015421547,-0.0047581243,0.0496792,0.01,-0.0004867305,-0.0016296431,0.0,152.796,1.8113262285623932e-06,-5.547000228034449e-07,-1.7242999774680356e-06
-0.001545,0.0047553,0.0,0.01,6e-10,-1.4e-09,0.0,-0.324083,0.0,0.0,0.0
-0.0020337,0.0045677,0.0,0.01,0.0,0.0,0.0,-1.883162,0.0,0.0,0.0
-0.0015412164,0.0047565035,0.0003358517,0.01,-1.414e-07,-1.52714e-05,0.0,2.468279,1.7700282128885192e-08,6.90000012681935e-09,-1.6299999572311208e-08
-0.0047553,0.0015449999,0.05,0.01,-1.12e-08,-5.16e-08,0.0,89.0378,1.000000013351432e-10,0.0,-1.000000013351432e-10
-0.0045678,0.0020336,0.05,0.01,0.0,0.0,0.0,151.9358,0.0,0.0,0.0
-0.0047580452,0.0015425799,0.0496793,0.01,-0.0016413491,0.0005572233,0.0,166.0427,1.8390234117759974e-06,-1.7452000520279398e-06,5.799000177830749e-07
-0.0047553,-0.001545,0.0,0.01,7e-10,1.4e-09,0.0,2.159004,0.0,0.0,0.0
-0.0045678,-0.0020336,0.0,0.01,0.0,0.0,0.0,6.927605,0.0,0.0,0.0
