x,y,z,t,u,v,w,p,d,dx,dy
0.0048958992,-0.001007277,0.0,0.0025,0.0,0.0,0.0,359.8957,0.0,0.0,0.0
0.0049726,-0.000522587,0.0,0.0025,-1.64e-08,-1.165e-07,0.0,353.2294,1.000000013351432e-10,0.0,1.000000013351432e-10
0.0048714224,-0.0011339098,0.0003221367,0.0025,-0.0064080518,0.0016432822,0.0,470.0581,5.0027606448566075e-06,4.863300091528799e-06,-1.1729999869203311e-06
0.0048963085,0.0010046906,0.05,0.0025,0.0,0.0,0.0,0.003888694,0.0,0.0,0.0
0.0049726,0.0005225871,0.05,0.0025,0.0,0.0,0.0,0.004469446,0.0,0.0,0.0
0.0048664508,0.0011331463,0.0496799925,0.0025,-3.349e-07,-7.76e-08,0.0,0.005127171,1.414213607331405e-10,-1.000000013351432e-10,-1.000000013351432e-10
0.0010135226,-0.0048948158,0.05,0.0025,0.0,0.0,0.0,0.004058946,0.0,0.0,0.0
0.0005225731,-0.0049726,0.05,0.0025,0.0,0.0,0.0,0.0009622688,0.0,0.0,0.0
0.0011226682,-0.0048691537,0.049680643,0.0025,-6.32e-08,3.218e-07,0.0,0.00464315,1.000000013351432e-10,0.0,1.000000013351432e-10
0.0010141994,0.0048947085,0.0,0.0025,0.0,0.0,0.0,359.3291,0.0,0.0,0.0
0.0005225731,0.0049726,0.0,0.0025,0.0,0.0,0.0,358.0086,0.0,0.0,0.0
0.001120874,0.0048746033,0.0003132974,0.0025,-0.0015126207,-0.0062245238,0.0,445.825,4.787455964105902e-06,1.100299982681463e-06,4.659299975173781e-06
0.0015284355,-0.0047597628,0.05,0.0025,0.0,0.0,0.0,0.005289541,0.0,0.0,0.0
0.0015230843,0.0047611958,0.0,0.0025,0.0,0.0,0.0,365.9401,0.0,0.0,0.0
0.0047626433,-0.0015176994,0.0,0.0025,0.0,0.0,0.0,366.4089,0.0,0.0,0.0
0.0047613865,0.0015223891,0.05,0.0025,0.0,0.0,0.0,0.004882352,0.0,0.0,0.0
-0.001545,-0.0047553,0.05,0.0025,-0.0,0.0,0.0,0.002515825,0.0,0.0,0.0
-0.0020337,-0.0045677,0.05,0.0025,0.0,0.0,0.0,0.00113408,0.0,0.0,0.0
-0.0015416,-0.0047563999,0.0496792,0.0025,1.078e-07,2.785e-07,0.0,0.005695299,1.000000013351432e-10,0.0,1.000000013351432e-10
-0.0015449999,0.0047553,0.0,0.0025,-1.86e-07,-5.58e-08,0.0,394.4361,1.000000013351432e-10,1.000000013351432e-10,0.0
-0.0020337,0.0045677,0.0,0.0025,0.0,0.0,0.0,384.6084,0.0,0.0,0.0
-0.0015428642,0.0047614629,0.0003358517,0.0025,0.0019969836,-0.006342566,0.0,438.7319,5.208338734519202e-06,-1.6408999954364845e-06,4.943100066157058e-06
-0.0047553,0.001545,0.05,0.0025,0.0,0.0,0.0,0.003141371,0.0,0.0,0.0
-0.0045678,0.0020336,0.05,0.0025,0.0,0.0,0.0,0.0057402,0.0,0.0,0.0
-0.0047562999,0.001542,0.0496793,0.0025,2.789e-07,-8.06e-08,0.0,0.006318652,1.000000013351432e-10,1.000000013351432e-10,0.0
-0.0047553,-0.0015449999,0.0,0.0025,4.94e-08,-1.93e-07,0.0,380.4695,1.000000013351432e-10,0.0,1.000000013351432e-10
-0.0045678,-0.0020336,0.0,0.0025,0.0,0.0,0.0,333.8657,0.0,0.0,0.0
-0.0047615033,-0.0015432491,0.0003423175,0.0025,0.0064850692,0.0021623465,0.0,427.9064,5.3480475799005944e-06,-5.079699803900439e-06,-1.6727999536669813e-06
-0.0020338,0.0045677,0.05,0.0025,0.0,0.0,0.0,0.003188624,0.0,0.0,0.0
-0.0015451,0.0047553,0.05,0.0025,0.0,0.0,0.0,0.001179647,0.0,0.0,0.0
-0.0020750868,0.0045469256,0.0496328166,0.0025,1.162e-07,-2.852e-07,0.0,0.005005936,1.000000013351432e-10,0.0,-1.000000013351432e-10
-0.0045677,-0.0020337,0.05,0.0025,0.0,0.0,0.0,0.004614966,0.0,0.0,0.0
-0.0047589726,-0.0015313963,0.05,0.0025,0.0,0.0,0.0,0.004166069,0.0,0.0,0.0
-0.0045646999,-0.0020404,0.0496747,0.0025,2.907e-07,1.489e-07,0.0,0.004915895,1.000000013351432e-10,1.000000013351432e-10,0.0
-0.0045677,0.0020337,0.0,0.0025,0.0,0.0,0.0,373.8469,0.0,0.0,0.0
-0.0047589466,0.001531493,0.0,0.0025,0.0,0.0,0.0,365.0287,0.0,0.0,0.0
-0.0045692839,0.0020424089,0.0003253073,0.0025,0.0060089644,-0.0026603524,0.0,446.9621,5.0047797230945434e-06,-4.5839001359127e-06,2.00890008272836e-06
-0.0020338,-0.0045677,0.0,0.0025,0.0,0.0,0.0,399.5655,0.0,0.0,0.0
-0.0015451,-0.0047553,0.0,0.0025,0.0,0.0,0.0,343.1489,0.0,0.0,0.0
-0.0020761803,-0.0045527486,0.000365752,0.0025,0.0032136252,0.0067992864,0.0,456.6061,5.684843472408829e-06,-2.4046998987614643e-06,-5.151200184627669e-06
-0.0043301,-0.0025,0.0,0.0025,0.0,0.0,0.0,351.402,0.0,0.0,0.0
-0.0043319016,-0.0025073681,0.0003563324,0.0025,0.0062125641,0.0036804102,0.0,407.7811,5.582556696026586e-06,-4.8367000999860466e-06,-2.7876999411091674e-06
-0.0043301,0.0025,0.05,0.0025,0.0,0.0,0.0,0.003003512,0.0,0.0,0.0
-0.0043274299,0.002503844,0.0496512508,0.0025,2.965e-07,-1.639e-07,0.0,0.006322636,1.414213607331405e-10,1.000000013351432e-10,-1.000000013351432e-10
-0.0025,0.0043301,0.0,0.0025,0.0,0.0,0.0,349.5288,0.0,0.0,0.0
-0.0025066411,0.0043319731,0.0003432563,0.0025,0.0033877959,-0.0058636193,0.0,405.4788,5.332524324330734e-06,-2.6718000754044624e-06,4.614899808075279e-06
