x,y,z,t,u,v,w,p,d,dx,dy
0.0048958992,-0.001007277,0.0,0.005,0.0,0.0,0.0,23.30573,0.0,0.0,0.0
0.0049726,-0.0005225871,0.0,0.005,5e-09,-2.2e-09,0.0,6.712856,0.0,0.0,0.0
0.0048664608,-0.0011327225,0.0003221367,0.005,-7.94655e-05,8.67831e-05,0.0,5.116553,9.933468447798077e-08,-9.829999925159427e-08,1.4300000295008886e-08
0.0048963085,0.0010046906,0.05,0.005,0.0,0.0,0.0,-0.8816535,0.0,0.0,0.0
0.0049726,0.0005225871,0.05,0.005,0.0,0.0,0.0,-0.9828338,0.0,0.0,0.0
0.0048664352,0.0011331424,0.0496799925,0.005,-1.57491e-05,-4.1087e-06,0.0,-1.279694,1.620154321813061e-08,-1.5699999522666985e-08,-3.999999886872274e-09
0.0010135226,-0.0048948158,0.05,0.005,0.0,0.0,0.0,-1.035219,0.0,0.0,0.0
0.0005225731,-0.0049726,0.05,0.005,0.0,0.0,0.0,-0.4647819,0.0,0.0,0.0
0.0011226643,-0.0048691382,0.049680643,0.005,-4.0604e-06,1.59965e-05,0.0,-1.312347,1.608011146458921e-08,-3.899999878598237e-09,1.5599999514392948e-08
0.0010141994,0.0048947085,0.0,0.005,0.0,0.0,0.0,21.31622,0.0,0.0,0.0
0.0005225731,0.0049726,0.0,0.005,0.0,0.0,0.0,29.40246,0.0,0.0,0.0
0.0011197314,0.004869865,0.0003132974,0.005,-1.63124e-05,-9.16928e-05,0.0,5.044715,8.961188768807915e-08,-4.2300001723560854e-08,-7.900000298377563e-08
0.0015284355,-0.0047597628,0.05,0.005,0.0,0.0,0.0,-1.290573,0.0,0.0,0.0
0.0015230843,0.0047611958,0.0,0.005,0.0,0.0,0.0,23.80401,0.0,0.0,0.0
0.0047626433,-0.0015176994,0.0,0.005,0.0,0.0,0.0,27.87606,0.0,0.0,0.0
0.0047613865,0.0015223891,0.05,0.005,0.0,0.0,0.0,-1.101012,0.0,0.0,0.0
-0.001545,-0.0047553,0.05,0.005,-5e-10,1e-10,0.0,-0.8101475,0.0,0.0,0.0
-0.0020337,-0.0045677,0.05,0.005,0.0,0.0,0.0,-0.5506828,0.0,0.0,0.0
-0.0015415949,-0.0047563844,0.0496792,0.005,4.924e-06,1.58685e-05,0.0,-1.586869,1.6412494474593586e-08,5.099999977886682e-09,1.5599999514392948e-08
-0.001545,0.0047553,0.0,0.005,-3.7e-09,-3.8e-09,0.0,10.19558,0.0,0.0,0.0
-0.0020337,0.0045677,0.0,0.005,0.0,0.0,0.0,7.391077,0.0,0.0,0.0
-0.0015412199,0.0047564439,0.0003358517,0.005,8.9394e-06,4.34343e-05,0.0,21.81439,7.597611784149194e-08,3.4000000592726565e-09,-7.589999739820996e-08
-0.0047553,0.001545,0.05,0.005,1e-10,5e-10,0.0,-0.8778537,0.0,0.0,0.0
-0.0045678,0.0020336,0.05,0.005,0.0,0.0,0.0,-1.359934,0.0,0.0,0.0
-0.0047562844,0.0015419948,0.0496793,0.005,1.49814e-05,-5.6078e-06,0.0,-1.678243,1.6443843620095322e-08,1.5599999514392948e-08,-5.199999986160719e-09
-0.0047553,-0.001545,0.0,0.005,3e-10,-2.5e-09,0.0,9.526213,0.0,0.0,0.0
-0.0045678,-0.0020336,0.0,0.005,0.0,0.0,0.0,38.40076,0.0,0.0,0.0
-0.0047563255,-0.0015415159,0.0003423175,0.005,4.00381e-05,9.7144e-06,0.0,20.15115,1.1520317144686487e-07,9.810000278775988e-08,6.039999789209105e-08
-0.0020338,0.0045677,0.05,0.005,0.0,0.0,0.0,-0.8278905,0.0,0.0,0.0
-0.0015451,0.0047553,0.05,0.005,0.0,0.0,0.0,-0.4841891,0.0,0.0,0.0
-0.0020750791,0.0045469089,0.0496328166,0.005,7.6279e-06,-1.71792e-05,0.0,-1.352711,1.8480530883380197e-08,7.699999748922437e-09,-1.6799999613681393e-08
-0.0045677,-0.0020337,0.05,0.005,0.0,0.0,0.0,-1.115949,0.0,0.0,0.0
-0.0047589726,-0.0015313963,0.05,0.005,0.0,0.0,0.0,-1.073638,0.0,0.0,0.0
-0.0045646849,-0.0020403932,0.0496747,0.005,1.40383e-05,6.5068e-06,0.0,-1.323199,1.6560495197381897e-08,1.5099999473022763e-08,6.800000118545313e-09
-0.0045677,0.0020337,0.0,0.005,0.0,0.0,0.0,24.52052,0.0,0.0,0.0
-0.0047589466,0.001531493,0.0,0.005,0.0,0.0,0.0,20.13162,0.0,0.0,0.0
-0.0045646337,0.0020404023,0.0003253073,0.005,9.54012e-05,-2.02238e-05,0.0,13.3016,6.633987936766061e-08,6.62999966039024e-08,2.2999999682582484e-09
-0.0020338,-0.0045677,0.0,0.005,0.0,0.0,0.0,1.919095,0.0,0.0,0.0
-0.0015451,-0.0047553,0.0,0.005,0.0,0.0,0.0,28.97825,0.0,0.0,0.0
-0.0020737136,-0.0045474482,0.000365752,0.005,9.50474e-05,4.74907e-05,0.0,8.505583,1.615693037138044e-07,6.199999802447564e-08,1.49200005239436e-07
-0.0043301,-0.0025,0.0,0.005,0.0,0.0,0.0,24.33184,0.0,0.0,0.0
-0.0043269662,-0.0025044914,0.0003563324,0.005,4.95458e-05,2.77283e-05,0.0,34.71951,1.3290105016494635e-07,9.869999928469042e-08,8.899999670575198e-08
-0.0043301,0.0025,0.05,0.005,0.0,0.0,0.0,-0.833516,0.0,0.0,0.0
-0.0043274145,0.0025038349,0.0496512508,0.005,1.52422e-05,-9.4694e-06,0.0,-1.653318,1.8024705283892217e-08,1.549999950611891e-08,-9.199999873032993e-09
-0.0025,0.0043301,0.0,0.005,0.0,0.0,0.0,21.07809,0.0,0.0,0.0
-0.0025039556,0.0043272999,0.0003432563,0.005,4.25146e-05,3.29186e-05,0.0,34.06377,5.988805895640326e-08,1.3700000245364663e-08,-5.829999949469311e-08
-0.0025,-0.0043301,0.05,0.005,0.0,0.0,0.0,-0.8212618,0.0,0.0,0.0
-0.0025039585,-0.0043273433,0.0496570491,0.005,8.5154e-06,1.56533e-05,0.0,-1.686308,1.783704028923694e-08,8.99999985648492e-09,1.5399999497844874e-08
-0.0048908,0.0010395,0.05,0.005,0.0,0.0,0.0,-1.22616,0.0,0.0,0.0
-0.0048908,-0.0010395,0.0,0.005,0.0,0.0,0.0,24.76836,0.0,0.0,0.0
-0.0010395,-0.0048907,0.05,0.005,-5e-10,1e-10,0.0,-1.455149,0.0,0.0,0.0
-0.0010395,0.0048907,0.0,0.005,-3.1e-09,-6.7e-09,0.0,30.29134,0.0,0.0,0.0
0.0020338,-0.0045677,0.05,0.005,0.0,0.0,0.0,-0.8486362,0.0,0.0,0.0
0.0020405742,-0.0045645278,0.0496573361,0.005,-7.3913e-06,1.60475e-05,0.0,-1.588011,1.7404884644633967e-08,-7.3000001599154984e-09,1.5799999530941022e-08
0.0045677,0.0020337,0.05,0.005,0.0,0.0,0.0,-0.6776211,0.0,0.0,0.0
0.004565665,0.002038047,0.0496574549,0.005,-1.59845e-05,-7.509e-06,0.0,-1.501691,1.7454226508561987e-08,-1.589999953921506e-08,-7.200000151641461e-09
0.0045677,-0.0020337,0.0,0.005,0.0,0.0,0.0,9.550246,0.0,0.0,0.0
0.0045655224,-0.0020382023,0.0003407161,0.005,-0.000138111,9.14423e-05,0.0,18.30742,9.450042171010864e-08,-8.770000192726002e-08,3.519999935974738e-08
0.0020338,0.0045677,0.0,0.005,0.0,0.0,0.0,20.6359,0.0,0.0,0.0
0.0020415153,0.0045639544,0.0003411614,0.005,7.5695e-06,-0.0001020699,0.0,31.55567,1.0253531002035743e-07,-6.500000182541044e-08,-7.93000012322409e-08
0.0048908,0.0010395,0.0,0.005,0.0,0.0,0.0,34.0274,0.0,0.0,0.0
0.0047553,0.001545,0.0,0.005,-3.1e-09,1.2e-09,0.0,11.66839,0.0,0.0,0.0
0.0047549677,0.0015455601,0.0003261584,0.005,4.81157e-05,4.0116e-05,0.0,20.01323,1.3818574018387153e-07,-1.3230000206476689e-07,-3.9900001524983963e-08
0.0048908,-0.0010395,0.05,0.005,0.0,0.0,0.0,-1.284242,0.0,0.0,0.0
0.0047553,-0.001545,0.05,0.005,-1e-10,-5e-10,0.0,-0.7781234,0.0,0.0,0.0
0.0047551352,-0.0015454247,0.0496542505,0.005,-1.7478e-05,5.5684e-06,0.0,-1.559658,1.7898603488220033e-08,-1.6999999630229468e-08,5.600000019256868e-09
0.0010395,0.0048907,0.05,0.005,5e-10,-0.0,0.0,-1.196115,0.0,0.0,0.0
0.001545,0.0047553,0.05,0.005,5e-10,-1e-10,0.0,-0.8762172,0.0,0.0,0.0
0.0015451885,0.0047552152,0.0496591719,0.005,-5.935e-06,-1.735e-05,0.0,-1.687785,1.780365188608357e-08,-5.600000019256868e-09,-1.689999962195543e-08
0.0010395,-0.0048907,0.0,0.005,2.7e-09,4.2e-09,0.0,10.22719,0.0,0.0,0.0
0.001545,-0.0047553,0.0,0.005,4.1e-09,1.9e-09,0.0,13.40786,0.0,0.0,0.0
0.001545268,-0.0047550776,0.0003262385,0.005,2.62808e-05,-9.22326e-05,0.0,28.55838,1.265138678263611e-07,-3.199999909497819e-08,1.223999959165667e-07
0.0020337,0.0045677,0.05,0.005,0.0,0.0,0.0,-0.5461143,0.0,0.0,0.0
0.0020337,-0.0045677,0.0,0.005,0.0,0.0,0.0,26.3613,0.0,0.0,0.0
0.0045678,0.0020336,0.0,0.005,0.0,0.0,0.0,10.95432,0.0,0.0,0.0
0.0045678,-0.0020336,0.05,0.005,0.0,0.0,0.0,-0.6969545,0.0,0.0,0.0
-0.0049726,0.0005226478,0.05,0.005,0.0,-0.0,0.0,-0.6964063,0.0,0.0,0.0
-0.0049725834,0.0005226029,0.0496723,0.005,1.56512e-05,-2.2191e-06,0.0,-1.514783,1.6708380456975647e-08,1.659999959713332e-08,-1.8999999351621e-09
-0.005,0.0,0.05,0.005,0.0,0.0,0.0,-0.5117958,0.0,0.0,0.0
-0.0049726,-0.0005226478,0.0,0.005,-2e-10,1e-10,0.0,21.3332,0.0,0.0,0.0
-0.0049724988,-0.0005225689,0.0003277039,0.005,4.54367e-05,-8.8327e-06,0.0,28.73418,1.073790016903331e-07,1.0120000126789819e-07,3.590000119402248e-08
-0.005,-0.0,0.0,0.005,0.0,0.0,0.0,1.989338,0.0,0.0,-0.0
0.005,-0.0,0.0,0.005,0.0,-0.0,0.0,14.31665,0.0,0.0,-0.0
0.0049726,0.0005226478,0.0,0.005,0.0,0.0,0.0,19.38369,0.0,0.0,0.0
0.0049704782,0.0005357161,0.0003362849,0.005,2.22782e-05,5.3308e-05,0.0,12.16492,1.3343118610009697e-07,-1.317999931416125e-07,-2.0799999944642877e-08
0.005,-0.0,0.05,0.005,0.0,-0.0,0.0,-1.137381,0.0,0.0,-0.0
0.0049726,-0.0005226478,0.05,0.005,-0.0,0.0,0.0,-1.130181,0.0,0.0,0.0
0.0049725624,-0.0005224338,0.0496561749,0.005,-1.76866e-05,1.9797e-06,0.0,-1.439989,1.7415223041439276e-08,-1.729999965505158e-08,1.999999943436137e-09
-0.000522642,-0.0049726,0.05,0.005,-0.0,0.0,0.0,-0.8664833,0.0,0.0,0.0
-0.0005181028,-0.0049728756,0.0496511633,0.005,1.6001e-06,1.79715e-05,0.0,-1.658957,1.7791290218838185e-08,1.8000000379103653e-09,1.7699999688147727e-08
-0.000522642,0.0049726,0.0,0.005,-0.0,-0.0,0.0,12.66849,0.0,0.0,0.0
-0.0005180084,0.004972819,0.0003527405,0.005,-1.63181e-05,5.6509e-06,0.0,23.72851,9.576309167869113e-08,-1.6099999555763134e-08,-9.440000070526366e-08
-0.0025001,0.0043301,0.05,0.005,0.0,0.0,0.0,-1.123038,0.0,0.0,0.0
-0.0043301,-0.0025001,0.05,0.005,0.0,0.0,0.0,-0.4959796,0.0,0.0,0.0
-0.0043301,0.0025001,0.0,0.005,0.0,0.0,0.0,38.30226,0.0,0.0,0.0
-0.0025001,-0.0043301,0.0,0.005,0.0,0.0,0.0,38.67651,0.0,0.0,0.0
0.000522642,0.0049726,0.05,0.005,0.0,-0.0,0.0,-0.6284521,0.0,0.0,0.0
0.0005175642,0.0049730394,0.0496468993,0.005,-2.2277e-06,-1.82336e-05,0.0,-1.411303,1.8022763725866753e-08,-2.099999951710174e-09,-1.78999997046958e-08
0.000522642,-0.0049726,0.0,0.005,0.0,0.0,0.0,7.164831,0.0,0.0,0.0
0.0005178663,-0.0049728678,0.0003518085,0.005,5.3926e-05,-7.65601e-05,0.0,19.38637,1.405561818046408e-07,-9.99999993922529e-09,1.4020000094205898e-07
0.0025001,-0.0043301,0.05,0.005,0.0,0.0,0.0,-1.276982,0.0,0.0,0.0
0.0043301,0.0025001,0.05,0.005,0.0,0.0,0.0,-0.8980003,0.0,0.0,0.0
0.0043301,-0.0025001,0.0,0.005,0.0,0.0,0.0,18.97021,0.0,0.0,0.0
0.0025001,0.0043301,0.0,0.005,0.0,0.0,0.0,31.818,0.0,0.0,0.0
0.0043301,0.0025,0.0,0.005,0.0,0.0,0.0,17.6216,0.0,0.0,0.0
0.0043269716,0.0025047924,0.0003517202,0.005,7.08222e-05,3.67286e-05,0.0,26.74646,1.4989240071372478e-07,-1.3829999545578175e-07,-5.7800001229679765e-08
0.0043301,-0.0025,0.05,0.005,0.0,0.0,0.0,-0.8604923,0.0,0.0,0.0
0.0043255848,-0.0025077913,0.0496616,0.005,-1.549e-05,8.7306e-06,0.0,-1.683663,1.7513709593686144e-08,-1.51999994812968e-08,8.699999831662808e-09
0.0025,-0.0043301,0.0,0.005,0.0,0.0,0.0,6.386281,0.0,0.0,0.0
0.0025049884,-0.004326889,0.0003576325,0.005,-2.34623e-05,-7.60421e-05,0.0,19.87105,1.345273545894088e-07,-5.560000104765095e-08,1.2249999770119757e-07
0.0025,0.0043301,0.05,0.005,0.0,0.0,0.0,-0.5552118,0.0,0.0,0.0
0.0025049638,0.0043270315,0.0496456012,0.005,-9.5639e-06,-1.6536e-05,0.0,-1.405876,1.8406792534619854e-08,-9.099999864758956e-09,-1.5999999547489097e-08
-0.0040451,0.002939,0.0,0.005,0.0,0.0,0.0,3.422847,0.0,0.0,0.0
-0.004041894,0.0029431166,0.0003524516,0.005,9.31435e-05,-1.69275e-05,0.0,16.52407,4.3318010511939065e-08,4.210000170701278e-08,-1.0199999955773364e-08
-0.0029389,-0.0040451,0.0,0.005,0.0,0.0,0.0,15.45713,0.0,0.0,0.0
-0.0029440256,-0.0040411719,0.0003384917,0.005,8.25915e-05,5.97576e-05,0.0,23.7331,1.4813834070537268e-07,7.439999905045624e-08,1.2809999816454365e-07
-0.0040451,-0.002939,0.05,0.005,0.0,0.0,0.0,-0.774187,0.0,0.0,0.0
-0.0040419545,-0.0029430659,0.0496437284,0.005,1.37391e-05,1.05092e-05,0.0,-1.603458,1.8321571815249627e-08,1.4800000336379071e-08,1.0800000005417587e-08
-0.0029389,0.0040451,0.05,0.005,0.0,0.0,0.0,-0.6857516,0.0,0.0,0.0
-0.0029440898,0.004041286,0.0496615,0.005,1.00826e-05,-1.42479e-05,0.0,-1.514511,1.7321662326708065e-08,1.0199999955773364e-08,-1.4000000270186774e-08
0.0040451,-0.002939,0.0,0.005,0.0,0.0,0.0,16.39256,0.0,0.0,0.0
0.0040417311,-0.0029433414,0.0003381534,0.005,-0.0001459766,6.12368e-05,0.0,26.30351,9.044982363093368e-08,-6.890000037174104e-08,5.860000129587206e-08
0.0029389,0.0040451,0.0,0.005,0.0,0.0,0.0,14.81596,0.0,0.0,0.0
0.0029422166,0.004042439,0.0003580243,0.005,4.59759e-05,-5.00914e-05,0.0,24.83511,1.18014618522011e-07,-9.120000044049448e-08,-7.490000086818327e-08
0.0040451,0.002939,0.05,0.005,0.0,0.0,0.0,-0.7509896,0.0,0.0,0.0
0.0040425907,0.002942156,0.0496428693,0.005,-1.50803e-05,-1.12917e-05,0.0,-1.595712,1.8380696076292224e-08,-1.4800000336379071e-08,-1.0900000013691624e-08
0.0029389,-0.0040451,0.05,0.005,0.0,0.0,0.0,-0.8004447,0.0,0.0,0.0
0.0029421574,-0.0040425894,0.0496453754,0.005,-1.10643e-05,1.48072e-05,0.0,-1.599306,1.836001040089741e-08,-1.1000000021965661e-08,1.4700000328105034e-08
-0.0040451,-0.002939,0.0,0.005,1.8e-09,2.1e-09,0.0,38.45616,0.0,0.0,0.0
-0.002939,0.0040451,0.0,0.005,3.5e-09,-4.2e-09,0.0,36.55606,0.0,0.0,0.0
-0.0040451,0.002939,0.05,0.005,-2e-10,-3e-10,0.0,-1.04377,0.0,0.0,0.0
-0.002939,-0.0040451,0.05,0.005,3e-10,-3e-10,0.0,-1.441105,0.0,0.0,0.0
6.84e-08,0.005,0.05,0.005,0.0,0.0,0.0,-0.4651009,0.0,0.0,0.0
6.84e-08,-0.005,0.0,0.005,-1.6e-09,-4e-09,0.0,35.63829,0.0,0.0,0.0
-6.84e-08,-0.005,0.05,0.005,3e-10,0.0,0.0,-1.1528,0.0,0.0,0.0
-6.84e-08,0.005,0.0,0.005,5e-10,7.2e-09,0.0,26.82495,0.0,0.0,0.0
0.0037157,-0.0033457,0.0,0.005,0.0,0.0,0.0,34.88471,0.0,0.0,0.0
0.0037157,0.0033457,0.05,0.005,0.0,0.0,0.0,-0.9522407,0.0,0.0,0.0
0.0033456,0.0037158,0.0,0.005,-3.8e-09,-9.5e-09,0.0,24.86671,0.0,0.0,0.0
0.0033456,-0.0037158,0.05,0.005,5e-10,5e-10,0.0,-1.058523,0.0,0.0,0.0
-0.0037157,0.0033457,0.0,0.005,0.0,0.0,0.0,18.88125,0.0,0.0,0.0
-0.0037157,-0.0033457,0.05,0.005,0.0,0.0,0.0,-1.28975,0.0,0.0,0.0
-0.0033456,-0.0037158,0.0,0.005,4.1e-09,3.9e-09,0.0,18.98245,0.0,0.0,0.0
-0.0033456,0.0037158,0.05,0.005,-5e-10,-5e-10,0.0,-1.093104,0.0,0.0,0.0
0.0040451,0.002939,0.0,0.005,7e-10,-2.5e-09,0.0,7.622704,0.0,0.0,0.0
0.002939,-0.0040451,0.0,0.005,-8.6e-09,6.7e-09,0.0,5.9291,0.0,0.0,0.0
0.002939,0.0040451,0.05,0.005,-4e-10,2e-10,0.0,-1.228694,0.0,0.0,0.0
