x,y,z,t,u,v,w,p,d,dx,dy
0.0018577367,-0.0014256123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016587043,-0.0017606627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013805523,-0.0014414802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0015964496,-0.001022454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007192576,-0.0008735085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012853491,-0.0019004968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008765502,-0.0021199127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000836324,-0.0014997866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0010140384,0.0007513908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0013095743,-7.61484e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0008366543,-6.026e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0041067,-0.0003691872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0041925,2.54155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0037104782,3.83322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000908435,-0.0026938191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005435823,-0.0023521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021058884,-0.001042482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0033120494,0.0014853353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0031170571,0.0019241738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0027071186,0.0015297378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021444,-0.0018741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.56898e-05,0.000700182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004545108,0.000768206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001982887,0.0001460274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0030244,0.001164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003937948,-0.0018813118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020529553,0.0007175449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0014123468,0.0005846951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017571634,0.0002822498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0004005955,0.0026432733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0007580334,0.0020495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0001189705,0.0022117889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013041052,0.0033520394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008552358,0.0035438351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005934345,0.0027824895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017324,-0.0037477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021177,-0.0036279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018836095,-0.0032233524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0003736696,-0.004112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.00697e-05,-0.004201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.81033e-05,-0.0037355693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0033743,-0.0023797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036483,-0.0020832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003243982,-0.0018520296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0004975866,0.0003825886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013520406,0.0028508195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021186,0.003496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025094,0.0033583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002257237,0.0029507995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0036347,-0.0021165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0033591,-0.0024169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0032278236,-0.0018900937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023011483,-0.0003002679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023487,-0.000704905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018936318,-0.0006271295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0023766,-0.0033665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.002092419,-0.0036565321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0018528429,-0.0032426905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0026932111,-0.0018275111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025108,-0.0021773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017816,-0.0001563432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013020399,-0.0005624467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001416778,-0.002925128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010859,-0.0031384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0009242806,0.002660011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001309084,-0.0023127485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0003216437,-0.0023260713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0001252271,-0.0018400225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001570441,-0.0012526137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017237104,-0.0021830765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0038482,0.0024402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0041261197,0.0021040812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036891698,0.0018945531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.001706018,-0.0037605581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0016725603,0.0042262217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020961648,0.0041210696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0018722429,0.0036843952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0009164137,0.0013703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0004774603,0.0010071285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013243,-0.0024277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0042238778,0.0016807556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0024021159,-0.0033543725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000403026,-0.0041065176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0005641821,-0.0028145032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
