x,y,z,t,d,dx,dy,dz,eta
0.0048958992,-0.001007277,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0049726,-0.0005225871,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0048665591,-0.0011327368,0.0003221367,0.01,4.118252050488991e-08,1.999999987845058e-08,3.599999942593968e-08,0,1.1318276251989778e-08
0.0048963085,0.0010046906,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0049726,0.0005225871,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0048664509,0.0011331464,0.0496799925,0.01,1.7945011450137827e-06,1.7472000308771385e-06,4.092999859039992e-07,0,1.7944995289887605e-06
0.0010135226,-0.0048948158,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0005225731,-0.0049726,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0011226682,-0.0048691538,0.049680643,0.01,1.792112357179576e-06,4.542000056062534e-07,-1.7336000155410147e-06,0,1.7913259054962855e-06
0.0010141994,0.0048947085,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0005225731,0.0049726,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0011197737,0.004869944,0.0003132974,0.01,2.915475860731931e-08,2.5000000292152436e-08,1.4999999464748726e-08,0,2.0220780487523182e-08
0.0015284355,-0.0047597628,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0015230843,0.0047611958,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0047626433,-0.0015176994,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0047613865,0.0015223891,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.001545,-0.0047553,0.05,0.01,1.000000013351432e-10,1.000000013351432e-10,0.0,0,-3.0900059420913006e-11
-0.0020337,-0.0045677,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0015416,-0.0047564,0.0496792,0.01,1.8113262285623932e-06,-5.547000228034449e-07,-1.7242999774680356e-06,0,1.8113218639478207e-06
-0.001545,0.0047553,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0020337,0.0045677,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0015412233,0.0047565198,0.0003358517,0.01,1.7700282128885192e-08,6.90000012681935e-09,-1.6299999572311208e-08,0,-1.7633195410760027e-08
-0.0047553,0.001545,0.05,0.01,1.000000013351432e-10,0.0,-1.000000013351432e-10,0,-3.0900059420913006e-11
-0.0045678,0.0020336,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0047563,0.001542,0.0496793,0.01,1.8390234117759974e-06,-1.7452000520279398e-06,5.799000177830749e-07,0,1.8389744773613173e-06
-0.0047553,-0.001545,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0045678,-0.0020336,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0047564236,-0.0015415763,0.0003423175,0.01,4.5708862472793044e-08,-3.7100001293310925e-08,2.6700000432811066e-08,0,2.7060768949434266e-08
-0.0020338,0.0045677,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0015451,0.0047553,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0020750868,0.0045469257,0.0496328166,0.01,2.0535674138955073e-06,-8.622000109426153e-07,1.8637999801285332e-06,0,2.0535402777115824e-06
-0.0045677,-0.0020337,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0047589726,-0.0015313963,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0045647,-0.0020404,0.0496747,0.01,1.8532755348132923e-06,-1.6896000261112931e-06,-7.615000185978715e-07,0,1.8532667904495523e-06
-0.0045677,0.0020337,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0047589466,0.001531493,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0045647,0.0020404,0.0003253073,0.01,5.367327204908179e-08,-4.689999855145288e-08,2.6100000383166844e-08,0,5.346807749242316e-08
-0.0020338,-0.0045677,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0015451,-0.0047553,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0020737756,-0.0045475974,0.000365752,0.01,2.2631835960851276e-08,-2.039999991154673e-08,9.799999922677216e-09,0,-4.5240550715364147e-10
-0.0043301,-0.0025,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0043270649,-0.0025045804,0.0003563324,0.01,4.006319898053334e-08,-3.0900000780320624e-08,2.550000033352262e-08,0,1.3969044033480815e-08
-0.0043301,0.0025,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.00432743,0.0025038441,0.0496512508,0.01,2.009814352277317e-06,-1.737599973239412e-06,1.0100000054080738e-06,0,2.009810370188353e-06
-0.0025,0.0043301,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0025039693,0.0043273582,0.0003432563,0.01,1.0509519476897822e-08,-4.699999944790534e-09,-9.399999889581068e-09,0,-5.782169742139798e-09
-0.0025,-0.0043301,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0025039675,-0.0043273587,0.0496570491,0.01,1.96157930076879e-06,-9.778000276128296e-07,-1.7004999790515285e-06,0,1.961571963851258e-06
-0.0048908,0.0010395,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0048908,-0.0010395,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0010395,-0.0048907,0.05,0.01,1.000000013351432e-10,1.000000013351432e-10,0.0,0,-2.0790203759946113e-11
-0.0010395,0.0048907,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0020338,-0.0045677,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0020405815,-0.0045645436,0.0496573361,0.01,1.9514184259605827e-06,8.412000056523539e-07,-1.7608000462132622e-06,0,1.9507951505032955e-06
0.0045677,0.0020337,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0045656809,0.0020380542,0.0496574549,0.01,1.9217607132304693e-06,1.7600999626665725e-06,7.715000265307026e-07,0,1.9217170923136948e-06
0.0045677,-0.0020337,0.0,0.01,0.0,0.0,0.0,0,0.0
